TIMESTAMP,R_FB_POS_RJ1,R_FB_POS_RJ2,R_FB_POS_RJ3,R_FB_POS_RJ4,R_FB_POS_RJ5,R_FB_POS_RJ6,R_FB_POS_EJ1,R_FB_POS_EJ2,R_FB_POS_EJ3,R_FB_POS_EJ4,R_FB_POS_EJ5,R_FB_POS_EJ6,R_FB_VEL_RJ1,R_FB_VEL_RJ2,R_FB_VEL_RJ3,R_FB_VEL_RJ4,R_FB_VEL_RJ5,R_FB_VEL_RJ6,R_FB_VEL_EJ1,R_FB_VEL_EJ2,R_FB_VEL_EJ3,R_FB_VEL_EJ4,R_FB_VEL_EJ5,R_FB_VEL_EJ6,R_FB_POS_X,R_FB_POS_Y,R_FB_POS_Z,R_FB_EULER_X,R_FB_EULER_Y,R_FB_EULER_Z,R_FB_QUAT_U0,R_FB_QUAT_U1,R_FB_QUAT_U2,R_FB_QUAT_U3,R_FB_VEL_LX,R_FB_VEL_LY,R_FB_VEL_LZ,R_FB_VEL_AX,R_FB_VEL_AY,R_FB_VEL_AZ,R_PL_POS_RJ1,R_PL_POS_RJ2,R_PL_POS_RJ3,R_PL_POS_RJ4,R_PL_POS_RJ5,R_PL_POS_RJ6,R_PL_POS_EJ1,R_PL_POS_EJ2,R_PL_POS_EJ3,R_PL_POS_EJ4,R_PL_POS_EJ5,R_PL_POS_EJ6,R_PL_VEL_RJ1,R_PL_VEL_RJ2,R_PL_VEL_RJ3,R_PL_VEL_RJ4,R_PL_VEL_RJ5,R_PL_VEL_RJ6,R_PL_VEL_EJ1,R_PL_VEL_EJ2,R_PL_VEL_EJ3,R_PL_VEL_EJ4,R_PL_VEL_EJ5,R_PL_VEL_EJ6,R_PL_POS_X,R_PL_POS_Y,R_PL_POS_Z,R_PL_EULER_X,R_PL_EULER_Y,R_PL_EULER_Z,R_PL_QUAT_U0,R_PL_QUAT_U1,R_PL_QUAT_U2,R_PL_QUAT_U3,R_PL_VEL_LX,R_PL_VEL_LY,R_PL_VEL_LZ,R_PL_VEL_AX,R_PL_VEL_AY,R_PL_VEL_AZ,S_REF_POS_RJ1,S_REF_POS_RJ2,S_REF_POS_RJ3,S_REF_POS_RJ4,S_REF_POS_RJ5,S_REF_POS_RJ6,S_REF_POS_EJ1,S_REF_POS_EJ2,S_REF_POS_EJ3,S_REF_POS_EJ4,S_REF_POS_EJ5,S_REF_POS_EJ6,S_REF_VEL_RJ1,S_REF_VEL_RJ2,S_REF_VEL_RJ3,S_REF_VEL_RJ4,S_REF_VEL_RJ5,S_REF_VEL_RJ6,S_REF_VEL_EJ1,S_REF_VEL_EJ2,S_REF_VEL_EJ3,S_REF_VEL_EJ4,S_REF_VEL_EJ5,S_REF_VEL_EJ6,S_REF_POS_X,S_REF_POS_Y,S_REF_POS_Z,S_REF_EULER_X,S_REF_EULER_Y,S_REF_EULER_Z,S_REF_QUAT_U0,S_REF_QUAT_U1,S_REF_QUAT_U2,S_REF_QUAT_U3,S_REF_VEL_LX,S_REF_VEL_LY,S_REF_VEL_LZ,S_REF_VEL_AX,S_REF_VEL_AY,S_REF_VEL_AZ
18399169,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701061,0.030651,0,0,0,0,0,0
18399177,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701061,0.030651,0,0,0,0,0,0
18399185,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701061,0.030651,0,0,0,0,0,0
18399193,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701061,0.030651,0,0,0,0,0,0
18399201,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701061,0.030651,0,0,0,0,0,0
18399209,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701061,0.030651,0,0,0,0,0,0
18399217,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701061,0.030651,0,0,0,0,0,0
18399225,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701061,0.030651,0,0,0,0,0,0
18399233,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701061,0.030651,0,0,0,0,0,0
18399241,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701061,0.030651,0,0,0,0,0,0
18399249,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701061,0.030651,0,0,0,0,0,0
18399257,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701061,0.030651,0,0,0,0,0,0
18399265,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701061,0.030651,0,0,0,0,0,0
18399273,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701061,0.030651,0,0,0,0,0,0
18399281,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701061,0.030651,0,0,0,0,0,0
18399289,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701061,0.030651,0,0,0,0,0,0
18399297,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701061,0.030651,0,0,0,0,0,0
18399305,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701061,0.030651,0,0,0,0,0,0
18399313,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701061,0.030651,0,0,0,0,0,0
18399321,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701061,0.030651,0,0,0,0,0,0
18399329,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701061,0.030651,0,0,0,0,0,0
18399337,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701061,0.030651,0,0,0,0,0,0
18399345,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701061,0.030651,0,0,0,0,0,0
18399353,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701061,0.030651,0,0,0,0,0,0
18399361,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701061,0.030651,0,0,0,0,0,0
18399369,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701061,0.030651,0,0,0,0,0,0
18399377,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701061,0.030651,0,0,0,0,0,0
18399385,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701061,0.030651,0,0,0,0,0,0
18399393,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701061,0.030651,0,0,0,0,0,0
18399401,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701061,0.030651,0,0,0,0,0,0
18399409,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701061,0.030651,0,0,0,0,0,0
18399417,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701061,0.030651,0,0,0,0,0,0
18399425,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701062,0.030651,0,0,0,0,0,0,28,34.72,1.52,34.86,-42.73,-27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.085,212.473,390.918,-16.092,89.1161,-10.9165,0.711668,-0.0331982,0.701061,0.030651,0,0,0,0,0,0
